,Drug_ID,SMILES,PPBR_AZ
14,CHEMBL384467,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,71.53
15,CHEMBL539163,Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)OC(=S)N2,98.21
16,CHEMBL1778628,N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,98.61
17,CHEMBL1940832,O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,71.53
18,CHEMBL2062582,CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCO,98.21
19,CHEMBL153064,CC(=O)c1cc2ccc(O)cc2oc1=O,98.51
20,CHEMBL1231626,NC(=O)c1cnc(N[C@H]2CCCNC2)c2cc(-c3ccc(Cl)cc3)sc12,99.19
21,CHEMBL2170975,CC(C)(C)OC(=O)NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,76.39
22,CHEMBL2139925,CCc1nc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cn2c1N(C)Cc1cccs1,99.65
23,CHEMBL1086473,CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccccc1,98.29
24,CHEMBL2059875,Cc1ccc(-c2ccccn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,98.89
25,CHEMBL373751,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(C#N)s3)c2cc1OC,98.89
26,CHEMBL2147221,COc1ncc(-c2cccc(C)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,99.5
27,CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,99.5
28,CHEMBL1689117,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,98.99
29,CHEMBL254832,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,98.84
30,CHEMBL2335897,C[C@@H](NC(=O)[C@H]1CCCCN1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,95.12
31,CHEMBL1917446,Cc1ccc2c(c1)c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,99.48
32,CHEMBL1852508,Cc1cc(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)nn1C[C@H](O)CN,69.61
33,CHEMBL561368,CC(C)NC(=O)c1cnc(N2CCC(N3C(=O)OCc4ccccc43)CC2)c(Cl)c1,99.44
34,CHEMBL406366,O=C(O)CSCC(=O)Nc1nc(-c2ccccc2)cs1,99.03
35,CHEMBL2151323,CC(C)Oc1cc(-n2cnc3cnc(N[C@@H](C)c4ncc(F)cn4)nc32)n[nH]1,69.12
36,CHEMBL2011920,CNc1c(Br)cnc2[nH]c(-c3cnn(C4CCN(C)CC4)c3)nc12,77.21
37,CHEMBL1689111,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)Cc2ccccc2)CC1,99.33
38,CHEMBL2177305,CCn1cc([C@]2(c3cccc(NC(=O)c4ccc(Cl)cn4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,98.29
39,CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,75.97
40,CHEMBL2179273,CCC[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,98.81
41,CHEMBL396043,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(NC3CC3)sc12,98.78
42,CHEMBL143305,Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,99.66
43,CHEMBL2208430,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c2ccccc12,98.09
44,CHEMBL384260,COc1cc(OC2CCN(C)CC2)c2c(Nc3cccc4c3OCO4)ncnc2c1,97.91
45,CHEMBL2059861,Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,94.9
46,CHEMBL2011123,CCOc1ccc([C@@H](C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1F,66.61
47,CHEMBL2338403,CC(C)(C)S(=O)(=O)CCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,65.06
48,CHEMBL2316386,C[S+]([O-])Cc1ccc(C(=O)Nc2ccc(OCCOCCO)nc2C(=O)NCC2CCC2)c2ccccc12,95.01
49,CHEMBL2181808,Cc1c(CC(=O)O)c2cc(F)ccc2n1Cc1nc2ccccc2s1,98.33
50,CHEMBL2011917,CNc1c(Br)cnc2[nH]c(-c3ccc(OCCN4CCOCC4)cc3)nc12,98.51
51,CHEMBL2062561,COc1ccc(-c2cc(Nc3ccn(C)n3)n3ncc(C#N)c3n2)cc1,98.21
52,CHEMBL1096418,Nc1scc2c(C(=O)NC3CC3)nn(-c3ccc(Cl)cc3)c(=O)c12,98.21
53,CHEMBL2158792,Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,78.79
54,CHEMBL2164742,N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)[C@H](O)C3)c2c1,79.17
55,CHEMBL393754,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(C(=O)N2CC3CNCC(C2)O3)ccc1Cl,69.12
56,CHEMBL1090771,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,98.33
57,CHEMBL1461208,COc1ccc(S(=O)(=O)N2CC(C)N(S(=O)(=O)c3ccc(OC)cc3)CC2C)cc1,99.65
58,CHEMBL1778644,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,95.12
59,CHEMBL1818291,CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CNC(=O)c2cc(-c3cccc(CN)c3)nc3ccccc23)CC1,98.61
60,CHEMBL2158783,Cc1c(Cl)ccc(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)c1Cl,96.26
61,CHEMBL182997,CC(C)(C)[C@@H](O)C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1CN,42.01
62,CHEMBL210887,O=C(Nc1nc2ccccc2n1CCCO)c1cccc([N+](=O)[O-])c1,91.99
63,CHEMBL436826,CCOc1ccc(-n2c([C@@H](C)N(Cc3cccnc3)C(=O)Cc3ccc(C(F)(F)F)cc3)nc3ccccc3c2=O)cc1,99.53
64,CHEMBL1463345,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]21CCC(=O)O1,94.06
65,CHEMBL896,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,91.82
66,CHEMBL239767,O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br,99.73
67,CHEMBL1417725,Cc1nc(-c2cccc(C(F)(F)F)c2)sc1C(=O)O,99.7
68,CHEMBL378997,COC(=O)N[C@@H](C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,99.66
69,CHEMBL2207600,COc1cc(OC)c(S(=O)(=O)N(c2ccc(C)cc2)c2ccc(C)cc2)cc1NC(=O)CCC(=O)O,95.12
70,CHEMBL2349335,CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12,99.56
71,CHEMBL239336,CC1=C(C(=O)OCc2ccccc2)C(c2cccs2)NC(=O)N1,97.32
72,CHEMBL2152524,c1ccc([C@@H]([C@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1,83.04
73,CHEMBL20210,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,83.04
74,CHEMBL1539037,COc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,82.39
75,CHEMBL570002,Cc1cc(Nc2cnc(C#N)c(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1,81.36
76,CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,81.01
77,CHEMBL2171034,O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,80.65
78,CHEMBL284275,COc1ccc(Cc2c(N)n[nH]c2N)cc1,80.65
79,CHEMBL1807820,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCSCCOCCc3cccc4ccccc34)c2s1,99.33
80,CHEMBL2169919,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,79.92
81,CHEMBL1916278,Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCOCC3)c(C)nn2-c2ccccc2)cc1,97.38
82,CHEMBL650,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,79.92
83,CHEMBL1650737,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2Cl)n[nH]1,92.16
84,CHEMBL1222381,O=C(NC1CC1)c1cc(-c2cccs2)on1,92.32
85,CHEMBL1645392,Cc1noc(C)c1-c1ccc(CNS(=O)(=O)c2c(C)noc2C)cc1,92.48
86,CHEMBL481611,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,93.94
87,CHEMBL1921944,C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1ccccc1)N1CCCCC1,99.6
88,CHEMBL2313229,O=P(c1ccccc1)(c1ccccc1)N(Cc1ccccn1)Cc1ccccn1,99.51
89,CHEMBL1645495,O=c1cc(-c2cccnc2)[nH]c2cc(Cc3ccccc3)ccc12,99.49
90,CHEMBL2181927,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,92.48
91,CHEMBL538936,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cn3)c2)CC1)NC(c1ccc(F)cc1)c1ccc(F)cc1,99.47
92,CHEMBL2349329,CC(C)C[C@H](CO)Nc1nc(SCc2cccc(C#N)c2)nc2nc(N)sc12,99.14
93,CHEMBL402728,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1,99.14
94,CHEMBL571353,Cc1nc(C(F)(F)F)ccc1C(=O)Nc1ccc(Cl)c(-c2ccccn2)c1,99.01
95,CHEMBL1957480,COCC#Cc1cccc(C2(c3ccc(OC(F)F)cc3)N=C(N)N3CC(F)(F)CN=C32)c1,98.89
96,CHEMBL2158828,O=C(O)COc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,98.86
97,CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,79.55
98,CHEMBL2337984,CC(C)(C)NC(=O)CN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,70.1
99,CHEMBL981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,98.81
100,CHEMBL1778623,CCN(CC)S(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,98.78
101,CHEMBL1088751,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,93.53
102,CHEMBL2103846,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,99.51
103,CHEMBL2165192,CC1CN(c2cc(=O)[nH]c(NCc3cccc4ccccc34)n2)CCO1,98.7
104,CHEMBL2011938,COc1ccc(-c2nc3c(NCCCNC(=O)c4cccnc4)c(Br)cnc3[nH]2)cc1,98.7
105,CHEMBL1277809,O=C(NCc1ccccn1)c1cc(-c2ccccc2)nc2ccccc12,98.7
106,CHEMBL440405,CS(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,98.7
107,CHEMBL1313956,O=C(COc1ccccc1Cl)c1ccc[nH]1,93.24
108,CHEMBL1610669,CC(C)CCOc1ccc(N)cc1,93.24
109,CHEMBL2071601,CC(C)C(NC(=O)c1cc(Cl)ccc1C(F)(F)F)C(=O)c1ccc([N+](=O)[O-])cc1,98.81
110,CHEMBL1290284,COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O,38.14
111,CHEMBL602180,COc1cnc(-c2ccccn2)nc1N1CCCC1,93.39
112,CHEMBL1994944,Cn1ncc2c(=O)[nH]c(-c3ccccc3)nc21,93.24
113,CHEMBL411329,O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,97.86
114,CHEMBL253641,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c(F)c(N2CCCCS2(=O)=O)c1,98.81
115,CHEMBL726,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,98.81
116,CHEMBL2331752,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cc(F)cc(Cl)c4)c3)C2)c(=O)[nH]c1=O,98.81
117,CHEMBL1917440,Cc1c(Sc2ccc(Cl)cc2)c2c(-c3cnccn3)cccc2n1CC(=O)O,98.76
118,CHEMBL551924,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccncc1)c1ccc(Cl)cc1,98.7
119,CHEMBL2062574,CC(=O)Nc1ccc2ccn(-c3cc(NCCN4CCCC4)n4ncc(C#N)c4n3)c2c1,94.44
120,CHEMBL1724416,Cc1ccc(S(=O)(=O)Nc2ccc3nc(C)oc3c2)cc1,97.91
121,CHEMBL2205498,CC(C)COc1ccc(-c2cc(O)nc(N)n2)cc1,96.26
122,CHEMBL1354035,COCCNCC(=O)NC12CC3CC(CC(C3)C1)C2,50.0
123,CHEMBL782,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,98.09
124,CHEMBL218628,CNc1nc2ccccc2n1Cc1sc2c(c1C(=O)N1C[C@H](O)CO1)c(=O)n(C)c(=O)n2CC(C)C,47.7
125,CHEMBL2111112,COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC,37.06
126,CHEMBL1775161,O=C(O)c1cn(Cc2ccccc2)c2ccccc12,98.09
127,CHEMBL2158827,O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,98.0
128,CHEMBL1312533,CC(=O)NC1CC2CCCC(C1)N2C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,97.91
129,CHEMBL479840,CCOc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1N1CCN(CC)CC1,98.17
130,CHEMBL2147307,COc1cnc(-c2c(C)ccc(F)c2CCNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,97.6
131,CHEMBL275955,NC1=NC(c2ccc(F)cc2)Cc2ccc(F)cc21,67.12
132,CHEMBL2165054,CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1cc2c(cn1)OCCO2,51.73
133,CHEMBL48361,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,47.12
134,CHEMBL2171277,Cc1ccc(NC(=O)[C@H]2CCCN2S(=O)(=O)c2cccc3cccnc23)c(C)c1,97.86
135,CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,98.84
136,CHEMBL429682,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(NS(C)(=O)=O)sc12,98.86
137,CHEMBL509973,CC(NC(=O)c1cc2ccccc2[nH]1)c1ccccc1,97.81
138,CHEMBL2068817,COc1ccccc1CN(C(C)=O)c1cnccc1Oc1ccccc1,93.1
139,CHEMBL2178390,Cc1nc(C(C)C)c(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,97.38
140,CHEMBL2088393,CC(C)(C)Oc1ccc(C(=O)Nc2ccc3sc(CO)nc3c2)cc1,94.9
141,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,94.79
142,CHEMBL54429,O=C(Cc1ccc(OCc2ccccc2)cc1)NO,93.67
143,CHEMBL473622,COc1cncc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)c1,97.49
144,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,93.67
145,CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,92.64
146,CHEMBL401158,CCCCNc1nc(SCCC)nc2c1nnn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,97.6
147,CHEMBL2178937,Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)NC(C)(C)C(=O)O)CC3)cc2)nc1C(N)=O,92.16
148,CHEMBL462132,Cc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)s1,99.6
149,CHEMBL1922056,C[C@@](C(=O)O[C@H]1C[N+]2(Cc3nc(-c4ccccc4)no3)CCC1CC2)(c1ccccc1)N1CCCCC1,97.66
150,CHEMBL235579,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(O[C@H]2CCCNC2)ccc1Cl,94.56
151,CHEMBL2165177,CN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)nc(=O)[nH]1,94.32
152,CHEMBL1917432,Cc1c(Sc2ccc(Cl)cc2)c2c(S(C)(=O)=O)cccc2n1CC(=O)O,96.5
153,CHEMBL1703518,CCN(CC)S(=O)(=O)c1ccc(-c2nnc(SCC(=O)N3CCc4ccccc43)o2)cc1,99.65
154,CHEMBL260091,C[C@@H](O)[C@H](NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO,96.42
155,CHEMBL934,CC(C)(C(=O)c1cccnc1)c1cccnc1,11.18
156,CHEMBL1364767,Cc1nn(C2CCCCC2)c(N)c1-c1ccccc1,95.53
157,CHEMBL1486517,O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,95.53
158,CHEMBL169526,CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,97.76
159,CHEMBL1916282,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2-c2ccccc2)cc1,98.89
160,CHEMBL343199,CCOC(=O)Nc1cc2c(c(N)n1)N=C(c1ccccc1)CCN2,94.56
161,CHEMBL1957845,O=c1cc(N2CCOCC2)nc2n(Cc3cccc(F)c3)ccn12,78.01
162,CHEMBL2180273,CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccc2)cc1,99.83
163,CHEMBL2178951,Cc1ncc(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,94.32
164,CHEMBL1518,CCCc1cc(=O)[nH]c(=S)[nH]1,40.89
165,CHEMBL1363,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,31.87
166,CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,30.88
167,CHEMBL1422,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,23.19
168,CHEMBL70,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,20.83
169,CHEMBL2011934,COc1ccc(-c2nc3c(NCCCN(C)C(=O)C4CCC4)c(Br)cnc3[nH]2)cc1,99.78
170,CHEMBL88,O=P1(N(CCCl)CCCl)NCCCO1,20.08
171,CHEMBL2062563,CC(=O)Nc1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,98.61
172,CHEMBL1087398,C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(N2CCOCC2)n1)c1ccc(F)cn1,94.06
173,CHEMBL1818294,CN(C)CCN1CCN(c2cc(C(=O)NC[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)c3ccccc3n2)CC1,93.94
175,CHEMBL2058280,Nc1scc2c(C(=O)NC3CC3)nn(-c3ccc(F)cc3)c(=O)c12,93.1
176,CHEMBL2153435,CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,93.1
177,CHEMBL321590,O=C(NO)C1COC(c2ccc(F)c(C(F)(F)F)c2)=N1,91.64
178,CHEMBL638,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,46.55
179,CHEMBL1214,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,45.41
180,CHEMBL573,O=C(O)c1cccnc1,44.84
181,CHEMBL2348645,CNc1nc(C)c(-c2nc(Nc3cccc(N4CCCCC4)c3)ncc2C#N)s1,99.81
182,CHEMBL562308,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2nc(NCCNCCO)ccc12,95.43
183,CHEMBL126,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,22.79
184,CHEMBL151592,Cc1cccc(C(N)=O)c1NC(=O)c1ccccc1,55.16
185,CHEMBL2144205,COc1cc2nc(-c3ccc(N4CCN(C)CC4)cc3)nc(NCCN3CCOCC3)c2cc1OC,55.16
186,CHEMBL107313,CCCc1cc(C2=N[C@@H](C(=O)NO)CO2)cc(OC)c1OC,94.32
187,CHEMBL1871428,Oc1ncc(NCc2ccccc2)c(O)n1,36.53
188,CHEMBL2179667,Cc1cccc(Oc2cc(CN3CCC[C@H](n4cc(C)c(=O)[nH]c4=O)C3)ccc2C(=O)O)c1,96.17
189,CHEMBL1598315,CNC(=O)c1snnc1-c1ccccc1,43.7
190,CHEMBL1491,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,98.09
191,CHEMBL481595,COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1NCCN1CCCCC1,97.91
192,CHEMBL1938681,O=C(c1ccc(-c2ccc(Cl)cc2)o1)N(Cc1ccccn1)c1ccc(N2CCNCC2)cc1,97.32
193,CHEMBL1489611,Cc1cc(C)cc(-c2nnc(SCC(=O)N3CCN(C(=O)c4ccco4)CC3)o2)c1,96.79
194,CHEMBL1770469,CSCCC(NC(=O)c1cnccn1)c1nc2ccccc2[nH]1,60.22
195,CHEMBL1950846,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1)C(C)(C)C,59.11
196,CHEMBL1963462,C[C@@](C(=O)OC1CC[N+](C)(C)CC1)(c1ccccc1)C1CCCC1,57.99
197,CHEMBL2326523,Cc1ccc(C(=O)N(CCCN)[C@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,99.19
198,CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,29.9
199,CHEMBL2170979,CC(C)N(CCCNC(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,66.1
200,CHEMBL1779512,COC[C@@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,41.45
201,CHEMBL473,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,66.1
202,CHEMBL589543,COc1ccc(C[C@H](N)C(=O)N[C@@H](Cc2ccccc2C)C(N)=O)cc1,64.01
203,CHEMBL267894,CCC1(CCC(C)C)C(=O)N=C(O)NC1=O,60.77
204,CHEMBL1951183,COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCC(CO)CC2)cc1NC(=O)CCC(=O)O,59.66
205,CHEMBL2178384,Cc1ncc(C(N)=S)nc1-c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,97.2
206,CHEMBL213854,Cc1ccc2c(c1)c(-c1ccnc3c(F)cccc13)c(C)n2CC(=O)O,99.1
207,CHEMBL1921917,C[C@@](C(=O)O[C@H]1C[N+]2(CCCc3ccncc3)CCC1CC2)(c1ccccc1)N1CCCCC1,51.73
208,CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,51.73
209,CHEMBL361812,O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2,97.26
