,Drug_ID,SMILES,LD50_Zhu
25,"2-Propenamide, N,N'-methylenebis-",C=CC(=O)NCNC(=O)C=C,2.597
26,"Acrylic acid, 2-norbornyl ester",C=CC(=O)OC1CC2CCC1C2,1.4680000000000002
27,"2-Propenoic acid, oxiranylmethyl ester",C=CC(=O)OCC1CO1,2.785
28,"Acrylic acid, ester with hydracrylonitrile",C=CC(=O)OCCC#N,2.842
29,"2-Propenoic acid, 1,2-ethanediyl ester",C=CC(=O)OCCOC(=O)C=C,2.754
30,"2-Propenoic acid, 2-phenoxyethyl ester",C=CC(=O)OCCOc1ccccc1,1.569
31,"Acrylic acid, 2-(2-cyanoethoxy)ethyl ester",C=CC(=O)OCCOCCC#N,2.1790000000000003
32,"2-Propenoic acid, oxydi-2,1-ethanediyl ester",C=CC(=O)OCCOCCOC(=O)C=C,2.729
33,"1,3-Butadiene",C=CC=C,0.994
34,"Hexa-1,3,5-triene, mixed isomers",C=CC=CC=C,2.582
35,"2-Propenal, phenylhydrazone (9CI)",C=CC=NNc1ccccc1,2.32
36,Acrylaldehyde,C=CC=O,3.0860000000000003
37,"Benzene, ethenyl-",C=Cc1ccccc1,1.319
38,"Pyridine, 2-ethenyl-",C=Cc1ccccn1,3.022
39,"Pyridine, 4-ethenyl-",C=Cc1ccncc1,3.022
40,"Bicyclo(2.2.1)hept-2-ene, 5-ethenyl-",C=CC1CC2C=CC1C2,1.44
41,"2H-Pyran, 2,5-diethenyltetrahydro- (9CI)",C=CC1CCC(C=C)OC1,1.75
42,"Cyclohexene, 4-vinyl- (8CI)",C=CC1CC=CCC1,1.625
43,"7-Oxabicyclo(4.1.0)heptane, 3-ethenyl-",C=CC1CCC2OC2C1,1.793
44,"2,4,8,10-Tetraoxaspiro(5,5)undecane, 3,9-diethenyl- (9CI)",C=CC1OCC2(CO1)COC(C=C)OC2,1.7180000000000002
45,3-Butenenitrile,C=CCC#N,2.766
46,"Benzene, 4-allyl-1,2-(methylenedioxy)-",C=CCc1ccc2c(c1)OCO2,1.92
47,"Ether, 2,6-diallylphenyl 2,3-epoxypropyl",C=CCc1cccc(CC=C)c1OCC1CO1,1.71
48,"3-Allyl(dihydro)furan-2,5-dione",C=CCC1CC(=O)OC1=O,2.117
49,4-Pentenal,C=CCCC=O,2.132
50,"2-Propen-1-amine, N,N-di-2-propenyl-",C=CCN(CC=C)CC=C,2.125
51,"2-Propen-1-amine, N-nitroso-N-2-propenyl- (9CI)",C=CCN(CC=C)N=O,2.198
52,"Isothiocyanic acid, allyl ester",C=CCN=C=S,2.947
53,"2-Propen-1-amine, N-2-propenyl-",C=CCNCC=C,2.226
54,"2-Butenedioic acid (Z)-, di-2-propenyl ester (9CI)",C=CCOC(=O)C=CC(=O)OCC=C,2.8160000000000003
55,"1,2-Benzenedicarboxylic acid, di-2-propenyl ester",C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.505
56,"Benzeneacetic acid, 2-propenyl ester",C=CCOC(=O)Cc1ccccc1,2.4330000000000003
57,"Cyclohexaneacetic acid, 2-propenyl ester",C=CCOC(=O)CC1CCCCC1,2.306
58,"Cyclohexanepropanoic acid, 2-propenyl ester",C=CCOC(=O)CCC1CCCCC1,2.526
59,"1-Propene, 3,3',3'',3'''-(1,2-ethanediylidenetetrakis(oxy))tetrakis- (9CI)",C=CCOC(OCC=C)C(OCC=C)OCC=C,2.256
60,"1-Propene, 3-(ethenyloxy)- (9CI)",C=CCOC=C,2.185
61,"Formic acid, allyl ester (8CI)",C=CCOC=O,2.842
62,"Benzamide, o-allyloxy-N-cyclohexyl-",C=CCOc1ccccc1C(=O)NC1CCCCC1,2.335
63,"Bicyclo(2.2.1)heptan-2,5-diol, diallyl ether",C=CCOC1CC2CC1CC2OCC=C,1.747
64,"1-Propene, 3,3'-oxybis-",C=CCOCC=C,2.487
65,"Propanenitrile, 3-(2-propenyloxy)- (9CI)",C=CCOCCC#N,1.932
66,"Aziridine, 1-ethenyl- (9CI)",C=CN1CC1,2.895
67,1-Ethenyl-2-pyrrolidinone (9CI),C=CN1CCCC1=O,1.879
68,"Benzoic acid, ethenyl ester (9CI)",C=COC(=O)c1ccccc1,1.659
69,"Formic acid, ethenyl ester",C=COC=O,1.4069999999999998
70,"Ethene, 1,1'-(oxybis(2,1-ethanediyloxy))bis-",C=COCCOCCOC=C,1.6269999999999998
71,"Ethene, 1,1'-sulfonylbis-",C=CS(=O)(=O)C=C,3.567
72,Formaldehyde,C=O,1.574
73,"4,4'-Bipyridine",c1cc(-c2ccncc2)ccn1,2.958
74,"1H-Imidazole, 1-((1,1'-biphenyl)-4-ylphenylmethyl)-, (+-)-",c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2.327
75,"1,1'-Biphenyl",c1ccc(-c2ccccc2)cc1,1.808
76,"Diazene, diphenyl-",c1ccc(N=Nc2ccccc2)cc1,2.261
77,"Phosphine, triphenyl-",c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.574
78,"2,2'-Bipyridine",c1ccc(-c2ccccn2)nc1,3.194
79,Isoquinoline,c1ccc2cnccc2c1,2.555
80,"Benzene, pure",c1ccccc1,1.3730000000000002
81,Pyridine,c1ccncc1,1.948
82,Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,2.005
83,Quinoline,c1ccc2ncccc2c1,2.591
84,Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,1.875
85,"Naphthalene, pure",c1ccc2ccccc2c1,2.418
86,"1,3,5-Cycloheptatriene",C1=CC=CCC=C1,3.209
87,"4,7-Methano-1H-indene, 3a,4,7,7a-tetrahydro-",C1=CC2C3C=CC(C3)C2C1,2.573
88,"1H-Indene, 3a,4,7,7a-tetrahydro-",C1=CCC2CC=CC2C1,1.508
89,"Bicyclo(2.2.1)hepta-2,5-diene",C1=CC2C=CC1C2,2.015
90,"Indan, 1,2:5,6-diepoxyhexahydro-",C1C2CC3OC3C2CC2OC12,1.852
91,"4,7-Methanoindan, 3a,4,5,6,7,7a-hexahydro-1,2:5,6-diepoxy-",C1C2OC2C2C1C1CC2C2OC12,2.893
92,"Bicyclo(2.2.1)hept-5-ene, 2-(4-cyclohexenyl)-",C1=CCC(C2CC3C=CC2C3)CC1,1.609
93,Cyclopentene,C1=CCCC1,1.614
94,"4,7-Methanobenzotrithiole, hexahydro-",C1CC2CC1C1SSSC21,2.802
95,"Dimethylamine, 1,1'-di-2-norbornyl-, endo,endo-",C1CC2CC1CC2CNCC1CC2CCC1C2,2.219
96,"6-Oxabicyclo(3.1.0)hexane, 2,2'-oxybis-",C1CC2OC2C1OC1CCC2OC12,1.93
97,"7-Oxabicyclo(4.1.0)heptane, 3-(epoxyethyl)-",C1CC2OC2CC1C1CO1,1.818
98,"Ether, dicyclopentyl",C1CCC(OC2CCCC2)C1,2.516
99,"1,4-Benzenediamine, N-cyclohexyl-N'-phenyl-",c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,2.124
100,"Cyclohexanamine, N-cyclohexyl-",C1CCC(NC2CCCCC2)CC1,2.687
101,"Adenine, N-benzyl-9-(tetrahydro-2H-pyran-2-yl)- (8CI)",c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,2.276
102,"Naphthalene, 1,2,3,4-tetrahydro-",c1ccc2c(c1)CCCC2,1.665
103,"Naphthalene, decahydro-",C1CCC2CCCCC2C1,1.521
104,7-Oxabicyclo(4.1.0)heptane,C1CCC2OC2C1,1.954
105,Cyclohexane,C1CCCCC1,0.821
106,"1H-Azepine, hexahydro-",C1CCCNCC1,2.384
107,"7,14-Methano-2H,6H-dipyrido(1,2-a:1',2'-e)(1,5)diazocine, dodecahydro-, (7S-(7alpha,7aalpha,14alpha,14abeta))-",C1CCN2CC3CC(CN4CCCCC34)C2C1,2.388
108,"5H-Tetrazolo(1,5-a)azepine, 6,7,8,9-tetrahydro-",C1CCc2nnnn2CC1,2.994
109,Piperidine,C1CCNCC1,2.3280000000000003
110,"Furan, tetrahydro-",C1CCOC1,1.408
111,"Piperazine, 1-phenyl-",c1ccc(N2CCNCC2)cc1,2.888
112,"Morpholine, 4-(triphenylmethyl)-",c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,3.599
113,"Morpholine, 4-phenyl-",c1ccc(N2CCOCC2)cc1,2.244
114,N-Oxydiethylene-2-benzothiazylsulfenamide,c1ccc2sc(SN3CCOCC3)nc2c1,2.105
115,"Pyridine, 3-(3,4-dihydro-2H-pyrrol-5-yl)- (9CI)",c1cncc(C2=NCCC2)c1,1.892
116,Ethyleneimine,C1CN1,3.458
117,"1,3,5-Triazine, 2,4,6-tris(1-aziridinyl)-",C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.31
118,"10H-Phenothiazine, 10-(1-azabicyclo(2.2.2)oct-3-ylmethyl)- (9CI)",c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,3.119
119,Piperazine,C1CNCCN1,1.656
120,"1H-1,4-Diazepine, hexahydro-",C1CNCCNC1,1.5490000000000002
121,Ethylene oxide,C1CO1,2.787
122,"p-Dioxane, 2,3-bis(2,3-epoxypropoxy)-",C1COC(OCC2CO2)C(OCC2CO2)O1,2.337
123,Morpholine,C1COCCN1,1.919
124,"1,4,7,10-Tetraoxacyclododecane",C1COCCOCCOCCO1,1.794
125,"1,4,7,10,13-Pentaoxacyclopentadecane",C1COCCOCCOCCOCCO1,2.194
126,"1,4,7,10,13,16-Hexanoxacyclooctadecane",C1COCCOCCOCCOCCOCCO1,2.279
127,"1,3-Dioxolane",C1COCO1,1.393
128,Ethylene sulfide,C1CS1,2.529
129,"1,4-Oxathiane",C1CSCCO1,1.5659999999999998
130,"7-Oxabicyclo(4.1.0)hepta-2,4,6-triene, 3-oxiranyl-",c1cc2c(cc1C1CO1)O2,1.676
131,"Benzene, (epoxyethyl)-",c1ccc(C2CO2)cc1,1.779
132,"Butane, 1,2:3,4-diepoxy-",C1OC1C1CO1,3.043
133,"m-Xylene-alpha,alpha'-dioxirane",c1cc(CC2CO2)cc(CC2CO2)c1,1.6569999999999998
134,"Oxiranemethanamine, N-(oxiranylmethyl)-N-phenyl-",c1ccc(N(CC2CO2)CC2CO2)cc1,2.103
135,"Oxirane, 2,2'-((2-(oxiranylmethoxy)-1,3-phenylene)bis(methylene))bis-",c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1,2.209
136,"Oxirane, 2,2'-(1,3-phenylenebis(oxymethylene))bis-",c1cc(OCC2CO2)cc(OCC2CO2)c1,1.937
137,"Benzene, 1,2-methylenedioxy-",c1ccc2c(c1)OCO2,2.323
138,"Methane, bromo-",CBr,2.647
139,Acetonitrile,CC#N,1.177
140,"2-Propenenitrile, 2-methyl-",C=C(C)C#N,2.747
141,"2-Propenamide, N-(3,4-dichlorophenyl)-2-methyl- (9CI)",C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.107
142,"2,8,9-Trioxa-5-aza-1-silabicyclo(3.3.3)undecane, 1-(hydroxymethyl)-, methacrylate",C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,1.536
143,"2-Propenoic acid, 2-methyl-, 2-propenyl ester",C=CCOC(=O)C(=C)C,2.467
144,"2-Propenoic acid, 2-methyl-, oxiranylmethyl ester",C=C(C)C(=O)OCC1CO1,2.377
145,"2-Propenoic acid, 2-methyl-, 2-chloroethyl ester",C=C(C)C(=O)OCCCl,2.8710000000000004
146,"3-Buten-2-one, 3-methyl-",C=C(C)C(C)=O,2.67
147,"2-Propene-1,1-diol, 2-methyl-, diacetate",C=C(C)C(OC(C)=O)OC(C)=O,2.593
148,"Benzene, (1-methylethenyl)-",C=C(C)c1ccccc1,1.382
149,"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (5S)-",C=C(C)C1CC=C(C)C(=O)C1,4.607
150,"2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-",C=C(C)C1CC=C(C)C(O)C1,1.705
151,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (theta)-",C=C(C)C1CC=C(C)CC1,1.491
152,"1-Cyclohexene-1-methanol, 4-(1-methylethenyl)-",C=C(C)C1CC=C(CO)CC1,1.86
153,"3-Butenenitrile, 3-methyl-",C=C(C)CC#N,2.177
154,"1-Propen-2-ol, acetate",C=C(C)OC(C)=O,1.523
155,"2-Butenedioic acid, 2-methyl-, (Z)- (9CI)",CC(=CC(=O)O)C(=O)O,1.994
156,"Phosphoramidothioic acid, (1-iminoethyl)-, O,O-bis(4-chlorophenyl) ester",CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,5.006
157,"2-Butanone, 3,3-dimethyl-",CC(=O)C(C)(C)C,2.215
158,"2,3-Butanedione",CC(=O)C(C)=O,1.736
159,Methyl vinyl ketone,C=CC(C)=O,3.369
160,"4-(2,6,6-Trimethylcyclohex-1-ene-1-yl)-but-3-ene-2-one",CC(=O)C=CC1=C(C)CCCC1(C)C,1.622
161,"3-Buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (3E)-",CC(=O)C=CC1C(C)=CCCC1(C)C,1.622
162,"Propanal, 2-oxo-",CC(=O)C=O,1.791
163,"9H-Pyrrolo(1',2':2,3)isoindolo(4,5,6-cd)indol-9-one, 10-acetyl-2,6,6a,7,11a,11b-hexahydro-11-hydroxy-7,7-dimethyl-, (6aalpha,11abeta,11balpha)- (8CI)(9CI)",CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,3.971
164,"Ethanone, 1-(1-naphthalenyl)-",CC(=O)c1cccc2ccccc12,2.0380000000000003
165,"Ethanone, 1-(4-methylphenyl)-",CC(=O)c1ccc(C)cc1,1.982
166,"Acetamide, N-(2-(4-acetylphenyl)-2-hydroxy-1-(hydroxymethyl)ethyl)-2,2-dichloro-, (R-(R*,R*))-",CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,2.465
167,"Benzenesulfonamide, 4-acetyl-N-((cyclohexylamino)carbonyl)-",CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.812
168,"Acetophenone, 4'-amino- (8CI)",CC(=O)c1ccc(N)cc1,2.55
169,"Ethanone, 1-(2,4-dihydroxyphenyl)-",CC(=O)c1ccc(O)cc1O,1.73
170,"Ethanone, 1-(3-nitrophenyl)-",CC(=O)c1cccc([N+](=O)[O-])c1,1.706
171,"Ethanone, 1-(3-aminophenyl)-",CC(=O)c1cccc(N)c1,1.859
172,"Ethanone, 1-phenyl-",CC(=O)c1ccccc1,2.169
173,"Ethanone, 1-(2-chlorophenyl)-",CC(=O)c1ccccc1Cl,1.929
174,"Ethanone, 1-(2-nitrophenyl)-",CC(=O)c1ccccc1[N+](=O)[O-],2.014
175,"Spiro(benzofuran-2(3H),1'-cyclopropan)-3-one, 5-acetyl-",CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,1.57
176,"Ethanone, 1-(10-(3-(4-(2-hydroxyethyl)-1-piperidinyl)propyl)-10H-phenothiazin-2-yl)-",CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,3.022
177,"2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-",CC(=O)C1C(=O)C=C(C)OC1=O,2.527
178,"Ethanone, 1-(3,3-dimethyloxiranyl)- (9CI)",CC(=O)C1OC1(C)C,1.851
179,"Butanamide, 3-oxo-N-phenyl-",CC(=O)CC(=O)Nc1ccccc1,1.581
180,"2-Propenamide, N-(1,1-dimethyl-3-oxobutyl)-",C=CC(=O)NC(C)(C)CC(C)=O,1.927
181,"2-Pentanone, 4-hydroxy-4-methyl-",CC(=O)CC(C)(C)O,1.463
182,"2,4-Pentanedione",CC(=O)CC(C)=O,3.26
183,"2H-1-Benzopyran-2-one, 4-hydroxy-3-(1-(4-nitrophenyl)-3-oxobutyl)-",CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,2.838
184,"2H-1-Benzopyran-2-one, 3-(1-(4-chlorophenyl)-3-oxobutyl)-4-hydroxy- (9CI)",CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,3.263
185,"2,5-Hexanedione",CC(=O)CCC(C)=O,1.74
186,"Pentanoic acid, 4-oxo-",CC(=O)CCC(=O)O,1.798
187,"2-Butanone, 4-(4-hydroxyphenyl)-",CC(=O)CCc1ccc(O)cc1,2.095
188,"2-Butanone, 4-(p-hydroxyphenyl)-, acetate",CC(=O)CCc1ccc(OC(C)=O)cc1,1.832
189,"2-Butanone, 4-phenyl-",CC(=O)CCc1ccccc1,1.666
190,"3,5-Pyrazolidinedione, 1,2-diphenyl-4-(3-oxobutyl)-",CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.651
191,"2-Propanone, 1-chloro-",CC(=O)CCl,2.966
192,"2-Propanone, 1-(p-chlorophenyl-tert-butyl)amino-",CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1,2.982
193,"2-Propanone, 1-hydroxy-",CC(=O)CO,1.527
194,"Piperazine, 1-acetyl-4-(4-((2-(2,4-dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl)methoxy)phenyl)-, cis-",CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.505
195,"Morpholine, 4-acetyl-",CC(=O)N1CCOCC1,1.324
196,Chloral acetamide,CC(=O)NC(=O)C(Cl)(Cl)Cl,1.819
197,"Benzamide, N-acetyl-2-hydroxy- (9CI)",CC(=O)NC(=O)c1ccccc1O,1.952
198,"Cysteine, N-acetyl-, L-",CC(=O)NC(CS)C(=O)O,1.509
199,"Acetamide, N-(aminothioxomethyl)-",CC(=O)NC(N)=S,3.373
200,"Toluene-2,4-diamine, N(sup 4)-acetyl-N(sup 2)-trifluoromethylsulfonyl-",CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,2.06
201,"Acetamide, N-(4-(chloroacetyl)phenyl)-",CC(=O)Nc1ccc(C(=O)CCl)cc1,1.993
202,"Acetamide, N-(4'-amino(1,1'-biphenyl)-4-yl)- (9CI)",CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,2.142
203,"Acetamide, N-(4-hydroxyphenyl)-",CC(=O)Nc1ccc(O)cc1,1.7990000000000002
204,"Acetamide, N-phenyl-",CC(=O)Nc1ccccc1,2.228
205,"Acetamide, N-4-pyridinyl- (9CI)",CC(=O)Nc1ccncc1,2.485
206,"2-Pyridinecarboxylic acid, 2-acetylhydrazide (9CI)",CC(=O)NNC(=O)c1ccccn1,2.425
207,"Silanetriol, methyl-, triacetate",CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,2.029
208,"Acrylonitrile, 2-hydroxy-, acetate (ester) (8CI)",C=C(C#N)OC(C)=O,3.0460000000000003
209,"7-Octen-2-ol, 2-methyl-6-methylene-, acetate",C=CC(=C)CCCC(C)(C)OC(C)=O,1.494
210,"Acetic acid, anhydride",CC(=O)OC(C)=O,1.759
211,"Benzyl alcohol, alpha-(trichloromethyl)-, acetate (9CI)",CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,1.595
212,"2-Propene-1,1-diol, 2-chloro-, diacetate (8CI)(9CI)",C=C(Cl)C(OC(C)=O)OC(C)=O,2.779
213,"1,1-Propanediol, 2,3-dichloro-, diacetate",CC(=O)OC(OC(C)=O)C(Cl)CCl,2.855
214,"2-Propene-1,1-diol, diacetate",C=CC(OC(C)=O)OC(C)=O,3.655
215,Acetic acid ethenyl ester,C=COC(C)=O,1.47
216,"1,3-Butadien-1-ol, acetate",C=CC=COC(C)=O,2.198
217,"Salicylanilide, 3,4'-dibromo-5-chlorothio-, acetate (ester)",CC(=O)Oc1c(Br)cc(Cl)cc1C(=S)Nc1ccc(Br)cc1,2.189
218,"Phenol, 6-(1,1-dimethylethyl)-3-methyl-2,4-dinitro-, acetate (ester) (9CI)",CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],3.848
219,"Phenol, o-t-butyl-4,6-dinitro-, acetate (ester)",CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)C,3.658
220,"Salicylamide, acetate (ester) (8CI)",CC(=O)Oc1ccccc1C(N)=O,1.998
221,"2-Propenoic acid, 3-(2-(acetyloxy)phenyl)- (9CI)",CC(=O)Oc1ccccc1C=CC(=O)O,1.816
222,"Acetic acid, 4-methylphenyl ester",CC(=O)Oc1ccc(C)cc1,1.898
223,"2H-Indol-2-one, 1,3-dihydro-1-acetyl-3,3-bis(4-(acetyloxy)phenyl)-",CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,2.948
224,"2H-1,4-Benzoxazin-3-(4H)-one, 2,2-bis(p-hydroxyphenyl)-, diacetate",CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,1.717
225,"Benzoic acid, 3,5-diiodo-4-(4-hydroxy-3-iodophenoxy)-, acetate",CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,2.15
226,"Acetic acid, phenyl ester",CC(=O)Oc1ccccc1,1.922
227,"Trichothec-9-en-8-one, 4-(acetyloxy)-12,13-epoxy-3,7,15-trihydroxy-, (3-alpha,4-beta,7-beta)-",CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,4.947
228,"Cyclohexanol, 4-(1,1-dimethylethyl)-, acetate",CC(=O)OC1CCC(C(C)(C)C)CC1,1.598
229,"Acetic acid, cyclohexyl ester",CC(=O)OC1CCCCC1,1.325
230,"Glycolonitrile, acetate (ester) (8CI)",CC(=O)OCC#N,3.491
231,"Pregna-1,4-diene-3,20-dione, 6alpha,9-difluoro-11beta,16alpha,17,21-tetrahydroxy-, cyclic 16,17-acetal with acetone, 21-acetate (8CI)",CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,4.548
232,"1,2,3-Propanetriol, triacetate",CC(=O)OCC(COC(C)=O)OC(C)=O,1.862
233,"Acetic acid, 2-propenyl ester",C=CCOC(C)=O,2.887
234,"2-Buten-1-ol, 3-methyl-, acetate",CC(=O)OCC=C(C)C,1.631
235,"Acetic acid, 3-allyloxyallyl ester",C=CCOC=CCOC(C)=O,1.622
236,"5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 3-((acetyloxy)methyl)-8-oxo-7-(((4-pyridinylthio)acetyl)amino)-, (6R-trans)-",CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,1.413
237,"Acetic acid, (3,4-methylenedioxy)benzyl ester",CC(=O)OCc1ccc2c(c1)OCO2,1.966
238,"Acetic acid, phenylmethyl ester",CC(=O)OCc1ccccc1,1.78
239,"as-Triazine-3,5(2H,4H)-dione, 2-beta-D-ribofuranosyl-, 2',3',5'-triacetate (8CI)",CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O,1.491
240,"Acetic acid, 2-phenylethyl ester",CC(=O)OCCc1ccccc1,1.651
241,"Bicyclo(3.1.1)hept-2-ene-2-ethanol, 6,6-dimethyl-, acetate",CC(=O)OCCC1=CCC2CC1C2(C)C,1.842
242,"Acetic acid, cyclohexylethyl ester",CC(=O)OCCC1CCCCC1,1.726
243,"2,2'-(Nitrosoimino)bisethanol diacetate (ester)",CC(=O)OCCN(CCOC(C)=O)N=O,1.64
244,"Ethylene glycol, monoacetate",CC(=O)OCCO,1.101
245,"Ethylene glycol, diacetate",CC(=O)OCCOC(C)=O,1.329
246,"Ethanol, 2,2'-(1,2-ethanediylbis(oxy))bis-, diacetate",CC(=O)OCCOCCOCCOC(C)=O,1.016
247,"Ethanol, 2,2'-sulfonyldi-, diacetate (7CI,8CI)",CC(=O)OCCS(=O)(=O)CCOC(C)=O,1.231
248,"Ethanol, 2,2'-thiobis-, diacetate",CC(=O)OCCSCCOC(C)=O,1.401
249,Ethaneperoxoic acid,CC(=O)OO,1.694
250,"Ethanethioamide, N-phenyl-",CC(=S)Nc1ccccc1,1.759
251,"Propane, 3-chloro-1,2-dibromo-2-methyl-",CC(Br)(CCl)CBr,2.506
252,"Propane, 1,2-dibromo-",CC(Br)CBr,2.276
253,"Urea, 3-(p-chlorophenyl)-1-methyl-1-(1-methyl-2-propynyl)-",C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,2.121
254,"4-Morpholineacetonitrile, alpha-methyl-",CC(C#N)N1CCOCC1,3.207
255,"Benzene, 1,1'-(2-nitropropylidene)bis(4-chloro-",CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],2.617
256,"Benzeneacetic acid, 3-benzoyl-alpha-methyl-",CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.61
257,"Benzeneacetic acid, 3-chloro-4-(2,5-dihydro-1H-pyrrol-1-yl)-alpha-methyl-",CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,2.8560000000000003
