,Drug_ID,SMILES,Pgp_Broccatelli
27,Colchicine,COc1cc2c(c(OC)c1OC)[C@H]1CC[C@@H](OC)C(=O)C[C@@H]1[C@H](NC(C)=O)CC2,0
28,Dexamethasone,C=C1C=C[C@@]2(C)C(=C1)CC[C@H]1[C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)C12F,0
29,Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,0
30,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@H](O)C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,0
31,Ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1
32,Propranolol,CC(C)NC[C@H](O)COc1cccc2ccccc12,0
33,Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0
34,Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,0
35,Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0
36,Ethosuximide,CC[C@]1(C)CC(=O)NC1=O,0
37,Hydrocodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0
38,Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
39,Loperamide,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,1
40,Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1
41,Methylphenidate,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,0
42,Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
43,Morphine,CN1CC[C@@]23c4c5ccc(O)c4O[C@H]2[C@H](O)C=C[C@H]3[C@@H]1C5,0
44,Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0
45,Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0
46,Prednisone,C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@H]2C(=O)C[C@]2(C)[C@@H]1CC[C@@]2(O)C(=O)CO,0
47,Selegiline,C#CCN(C)[C@@H](C)Cc1ccccc1,0
48,Sulpiride,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,0
49,Venlafaxine,COc1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1,0
50,Zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0
51,Benidipine,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCCN(Cc3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1,1
52,Desmethylazelastine,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1[C@H]1CCCNCC1,1
53,Manidipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,1
54,Quinidine,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,1
55,Artesunate,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OC(=O)CCC(=O)O)O[C@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,0
56,Daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0
57,Desethylamodiaquine,CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1
58,Diospyrin,Cc1cc(O)c2c(c1)C(=O)C(c1c(C)cc3c(c1O)C(=O)C=CC3=O)=CC2=O,0
59,Ellagic acid,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,0
60,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,0
61,Flavone,O=c1cc(-c2ccccc2)oc2ccccc12,1
62,Genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0
63,Geshoidin,O=C1OCc2cc3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)c3c(O)c21,0
64,Metrifonate,COP(=O)(OC)[C@H](O)C(Cl)(Cl)Cl,0
65,Quinine,C=C[C@@H]1CN2CC[C@@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1
66,LY335979(Zosuquidar),O[C@H](COc1cccc2ncccc12)CN1CCN(C2c3ccccc3[C@H]3[C@H](c4ccccc42)C3(F)F)CC1,1
67,Tamolarizine,COc1ccc([C@@H](O)CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1OC,1
68,Astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1
69,Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1
70,Pimozide,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
72,Niguldipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,1
73,Propafenone,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,1
74,Dexloxiglumide,CCCCCN(CCCOC)C(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,1
75,Cilostazol,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,1
76,Bepridil,CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1,1
77,Ellipticine,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,0
78,Hexestrol,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,0
79,Lidoflazine,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0
82,D-617,CNCCC[C@](C#N)(c1ccc(OC)c(OC)c1)C(C)C,0
83,D-620,COc1ccc([C@@](C#N)(CCCN)C(C)C)cc1OC,0
84,D-703,COc1cc([C@](C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O,1
85,Diltiazem,COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1
86,Dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,1
87,Doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H](N)[C@H](O)[C@@H](C)O1,0
88,Eletriptan,CN1CCC[C@H]1Cc1ccc2[nH]cc(CCS(=O)(=O)c3ccccc3)c2c1,0
90,GF120918(Elacridar),COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,1
91,Hoechst33342(Bisbenzimide),CCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,0
92,Mebendazole,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,1
93,Midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1
95,Nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc([N+](=O)[O-])c1,1
96,Practolol,CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1,0
97,Puromycin,COc1ccc(C[C@@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H](n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1,0
98,Testosterone,C[C@@]12CCC(=O)C=C1CCC1[C@H]2CC[C@@]2(C)[C@H](O)CC[C@H]12,1
99,Yohimbine,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@@H]21,0
100,Acrivastine,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,0
101,Amantadine,NC12CC3CC(CC(C3)C1)C2,0
102,Amitriptylline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1
103,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,0
104,Atenolol,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0
105,Biperiden,O[C@](CCN1CCCCC1)(c1ccccc1)[C@H]1C[C@@H]2C=C[C@H]1C2,0
107,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,0
108,Cetirizine,O=C(O)COCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,0
109,Chloropromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1
110,Chlorprothixene,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,1
111,Clemastine,CN1CCC[C@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,1
112,Clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1
113,Clonidine,Clc1cccc(Cl)c1NC1=NCCN1,0
114,Doxylamine,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,0
115,Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0
116,Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,0
117,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0
118,Ketamine,CN[C@@]1(c2ccccc2Cl)CCCCC1=O,0
119,Labetolol,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,0
120,Levomeprazine,COc1ccc2c(c1)N(C[C@@H](C)CN(C)C)c1ccccc1S2,1
121,Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
122,Maprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,1
123,Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,0
124,Mequitazine,c1ccc2c(c1)Sc1ccccc1N2C[C@H]1CN2CCC1CC2,1
125,Methysergide,CC[C@@H](CO)NC(=O)[C@H]1C=C2c3cccc4c3c(cn4C)C[C@@H]2N(C)C1,0
126,Metoprolol,COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,0
127,Mexilitene,Cc1cccc(C)c1OC[C@@H](C)N,0
128,Nalbuphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@H](C2)N(CC2CCC2)CC[C@@]314,0
129,Naloxone,C=CCN1CC[C@@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@@H]1C5,0
130,Naltrexone,O=C1CC[C@@]2(O)[C@@H]3Cc4ccc(O)c5c4[C@]2(CCN3CC2CC2)[C@H]1O5,0
131,Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,1
132,Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,0
133,Nordazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,0
134,Noscapine,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,1
135,Oxprenolol,C=CCOc1ccccc1OC[C@H](O)CNC(C)C,0
136,Perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1
137,Pheniramine,CNCC[C@H](c1ccccc1)c1ccccn1,0
138,Pirenzapine,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,0
139,Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1
140,Scopolamine,CN1[C@H]2CC(OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,0
141,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0
142,Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0
143,Tacrine,Nc1c2c(nc3ccccc13)CCCC2,0
144,Toxindole,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,1
145,Warfarin,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,0
146,Zimeldine,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,0
147,Zolmitriptan,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,0
148,Cannabidiol,C=C(C)[C@@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCCCC)cc1O,1
150,Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,0
151,"(8S,9R,10R,13S,14R,17S)-17-hydroxy-17-(2-hydroxyacetyl)-13-methyl-2,6,7,8,9,10,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,11-dione",C[C@]12CC(=O)[C@H]3[C@@H]4CCC(=O)C=C4CC[C@H]3[C@H]1CC[C@@]2(O)C(=O)CO,1
152,Sulfentanyl,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,1
153,Tamoxifen,CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
154,4-hydroxycarvedilol,COc1cc(O)ccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,0
155,5-hydroxycarvedilol,COc1ccc(O)cc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,0
156,Acebutolol,CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,0
157,Diacetolol,CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,0
158,Dilevalol,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,0
159,LY296097,CCCCS(=O)(=O)Oc1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(S(=O)(=O)CCCC)cc3)sc2c1,1
160,LY335980,O[C@H](COc1cccc2ncccc12)CN1CCN(C2c3ccccc3C3C(c4ccccc42)C3(F)F)CC1,1
161,LY335981,O[C@@H](COc1cccc2ncccc12)CN1CCN(C2c3ccccc3C3C(c4ccccc42)C3(F)F)CC1,1
162,LY335983,O[C@H](COc1cccc2ncccc12)CN1CCN(C2c3ccccc3C3C(c4ccccc42)C3(Cl)Cl)CC1,1
163,LY335984,O[C@@H](COc1cccc2ncccc12)CN1CCN(C2c3ccccc3C3C(c4ccccc42)C3(Cl)Cl)CC1,1
164,LY350344,O[C@H](COc1cccc2ncccc12)CN1CCN(C2c3ccccc3[C@H]3C[C@H]3c3ccccc32)CC1,1
165,LY3535977,O[C@@H](COc1cccc2ncccc12)CN1CCN(C2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,1
166,Norgallopamil,COc1ccc(CCNCCC[C@](C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,1
167,Talinolol,CC(C)(C)NC[C@H](O)COc1ccc(NC(=O)NC2CCCCC2)cc1,0
168,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0
169,Alprenolol,C=CCc1ccccc1OC[C@H](O)CNC(C)C,0
170,Desipramine,CNCCCN1c2ccccc2CCc2ccccc21,0
171,Fluvastatin,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,0
172,Pantoprazole,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,0
173,Pumafentrine,CCOc1cc2c(cc1OC)C(c1ccc(C(=O)N(C(C)C)C(C)C)cc1)=N[C@@H]1CCN(C)C[C@H]21,1
174,Tolafentrine,COc1cc2c(cc1OC)[C@H]1CN(C)CC[C@H]1N=C2c1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,1
175,"6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic-acid",Cc1c(C)c2c(c(C)c1O)CC[C@](C)(C(=O)O)O2,0
176,Acenocoumarol,CC(=O)C[C@H](c1ccc([N+](=O)[O-])cc1)c1c(O)oc2ccccc2c1=O,0
177,Acetaminophen(Paracetamol),CC(=O)Nc1ccc(O)cc1,0
178,Acetohydroxamic acid,CC(=O)NO,0
179,Acetorphan,CC(=O)SC[C@@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,0
180,Althiazide,C=CCSC[C@H]1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0
182,Aminophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0
183,Aminopyrine,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,0
184,Amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,1
185,Amoxicillin,CC1(C)S[C@H]2[C@@H](NC(=O)[C@@H](N)c3ccc(O)cc3)C(=O)N2[C@@H]1C(=O)O,0
186,Amrinone,Nc1cc(-c2ccncc2)c[nH]c1=O,0
187,Antazoline,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,1
188,Antimycin A,CCCCCC[C@@H]1C(=O)O[C@@H](C)[C@@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@H]1OC(=O)CC(C)C,0
189,Aposcopolamine,C=C(C(=O)OC1C[C@H]2[C@@H]3O[C@@H]3[C@@H](C1)N2C)c1ccccc1,0
190,Ascorbic acid,O=C1C(O)=C(O)O[C@H]1[C@H](O)CO,0
191,Atropine,CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,0
192,Austricine,CC1=CC(=O)C2=C(C)C[C@@H](O)[C@@H]3[C@@H](OC(=O)[C@@H]3C)[C@H]12,0
193,Azlocillin,CC1(C)S[C@@H]2C(NC(=O)[C@@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0
194,Bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc([C@H](O)CNC(C)(C)C)c1,0
195,Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@@H](Cc1ccccc1)NS2(=O)=O,0
196,Benzpthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O,1
197,Bergenin,COc1c(O)cc2c(c1O)[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1OC2=O,0
198,Betahistine,CNCCc1ccccn1,0
199,Betamethasone,C=C1C=C[C@@]2(C)C(=C1)CC[C@H]1[C@@H]3C[C@H](C)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)C12F,0
200,Betaxol,CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1,0
202,Bicuculline,CN1CCc2cc3c(cc2[C@@H]1[C@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,0
203,Bisacodyl,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0
204,Boldine,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,0
205,Bosulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O,0
206,Bromopride,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,0
207,Bupivacainne,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,0
208,Calycanthine,CN1CC[C@@]23c4ccccc4N[C@@H]1[C@@]21CCN(C)[C@H]3Nc2ccccc21,0
209,Camptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0
210,Canadine,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,0
211,Carbenicillin,CC1(C)S[C@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,0
213,Carbinoxamine,CN(C)CCO[C@H](c1ccc(Cl)cc1)c1ccccn1,0
214,Carmustine,O=NN(CCCl)C(=O)NCCCl,0
215,Cefaclor,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,0
216,Cefmetazole,CO[C@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]21,0
217,Cefoperazone,CCN1CCN(C(=O)N[C@H](C(=O)N[C@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@@H]23)c2ccc(O)cc2)C(=O)C1=O,0
218,Cefotaxime,CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1,1
219,Cefuroxime,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,0
220,Celestin_blue,CCN(CC)c1ccc2[nH]c3c(C(=N)O)cc(=O)c(=O)c=3oc2c1,0
221,Cephalothin,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)Cc3cccs3)[C@@H]2SC1,0
222,Cephapirin,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)CSc3ccncc3)[C@H]2SC1,0
223,Chenodiol,C[C@H](CCC(=O)O)[C@@H]1CC[C@H]2C3[C@@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
224,Chlormethazone,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1,0
225,Chlorogenic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O,0
226,Chlorotrianisene,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0
227,Chlorphenesin carbamate,NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1,1
228,Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0
229,Chlorthalidone,NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl,0
230,Chlorthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,0
231,Chrysene-1-4-dione,O=C1C=CC(=O)c2c1ccc1c2ccc2ccccc21,0
232,N-[4-[4-(2-methoxyphenyl)piperazin-1-yl]butyl]naphthalene-2-carboxamide,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,0
233,Cinoxacin,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,0
234,Citiolone,CC(=O)N[C@@H]1CCSC1=O,0
235,Clenbuterol,CC(C)(C)NC[C@@H](O)c1cc(Cl)c(N)c(Cl)c1,0
236,Clindamycin,CCC[C@@H]1C[C@H](C(=O)N[C@H]([C@@H]2O[C@@H](SC)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](C)Cl)N(C)C1,1
237,Clobetasol,CCC(=O)O[C@]1(C(=O)CCl)[C@H](C)C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]21C,0
238,Clofibric acid,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,0
239,Clopamide,C[C@@H]1CCC[C@@H](C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,0
240,Clorgyline,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0
241,Convolamine,COc1ccc(C(=O)OC2C[C@@H]3CC[C@H](C2)N3C)cc1OC,0
242,Cortisol(Hydrocortisone),C[C@@]12CCC(=O)C=C1CC[C@H]1[C@H]2[C@@H](O)C[C@@]2(C)[C@@H]1CC[C@@]2(O)C(=O)CO,0
